"Index;State;Gun Ownership Rate;Registered Gun Rate;Gun Death Rate;Red or Blue	"
"1;MT;65.7%;33.2 per 1k;20.9 per 100k;Republican"
"2;WY;60.7%;245.8 per 1k;25.9 per 100k;Republican"
"3;WV;60.6%;92.8 per 1k;18.1 per 100k;Republican"
"4;ID;57.8%;40.2 per 1k;17.6 per 100k;Republican"
"5;AL;57.2%;38.5 per 1k;23.5 per 100k;Republican"
"6;SD;55.6%;72.2 per 1k;13.6 per 100k;Republican"
"7;OK;54.9%;25.9 per 1k;20.7 per 100k;Republican		"
"8;MS;54.1%;27.4 per 1k;28.6 per 100k;Republican		"
"9;ND;53.3%;40 per 1k;13.8 per 100k;Republican			"
"10;AL;52.8%;38.7 per 1k;23.6 per 100k;Republican		"
"11;MO;52.8%;18.4 per 1k;23.9 per 100k;Republican			"
"12;KY;52.5%;24.1 per 1k;20.1 per 100k;Republican		"
"13;LA;52.3%;32.9 per 1k;26.3 per 100k;Republican		"
"14;AR;51.8%;44.3 per 1k;22.6 per 100k;Republican		"
"15;VT;50.3%;14.6 per 1k;11.6 per 100k;Democrat		"
"16;ME;47.7%;15.6 per 1k;10.4 per 100k;Democrat		"
"17;WI;47.1%;16.3 per 1k;12.2 per 100k;Democrat		"
"18;TN;46.9%;21.7 per 1k;21.3 per 100k;Republican		"
"19;NH;46.3%;52.1 per 1k;8.9 per 100k;Democrat		"
"20;SC;45.5%;23 per 1k;22 per 100k;Republican			"
"21;IN;42.4%;23.1 per 1k;17.3 per 100k;Republican	"
"22;KS;42.3%;23.8 per 1k;16.9 per 100k;Republican	"
"23;OH;41.9%;17.7 per 1k;15.2 per 100k;Republican			"
"24;OR;41.4%;23 per 1k;13 per 100k;Democrat		"
"25;PA;40.2%;26.9 per 1k;13.6 per 100k;Democrat		"
"26;UT;39.7%;3.4 per 1k;13.6 per 100k;Republican		"
"27;NE;39.2%;22 per 1k;10.1 per 100k;Republican		"
"28;MN;39.1%;22.7 per 1k;8.9 per 100k;Democrat		"
"29;MI;38.9%;10.9 per 1k;14.6 per 100k;Democrat		"
"30;DE;38.7%;6.1 per 1k;14.4 per 100k;Democrat			"
"31;IA;38.5%;17 per 1k;11.2 per 100k;Republican		"
"32;CO;37.9%;25.7 per 1k;15.4 per 100k;Democrat		"
"33;GA;37.7%;28.2 per 1k;17.7 per 100k;Democrat		"
"34;NC;37.1%;21.1 per 1k;16 per 100k;Republican		"
"35;AZ;36.4%;35.6 per 1k;16.7 per 100k;Democrat		"
"36;NM;35.9%;58.1 per 1k;22.7 per 100k;Democrat				"
"37;TX;35.5%;34.1 per 1k;14.2 per 100k;Republican"
"38;VA;35.3%;49 per 1k;13.4 per 100k;Democrat			"
"39;NV;32.9%;37.9 per 1k;17 per 100k;Democrat		"
"40;WA;32.1%;1.2 per 1k;10.9 per 100k;Democrat		"
"41;FL;28.8%;23.8 per 1k;13.7 per 100k;Republican		"
"42;IL;22.6%;11.4 per 1k;14.1 per 100k;Democrat"
"43;CT;18.8%;20.8 per 1k;6 per 100k;Democrat	"
"44;MD;16.7%;22.1 per 1k;13.5 per 100k;Democrat			"
"45;CA;16.3%;10.4 per 1k;8.5 per 100k;Democrat	"
"46;NY;14.5%;4.6 per 1k;5.3 per 100k;Democrat			"
"47;RI;13.9%;4.5 per 1k;5.1 per 100k;Democrat"
"48;MA;9.9%;6.5 per 1k;3.7 per 100k;Democrat"
"49;HI;9.1%;6.4 per 1k;3.4 per;100k;Democrat"
"50;NJ;8.9%;1.1 per 1k;5 per 100k;Democrat"
